id,port_id,date,congestion_score,data_provenance
1,1,2024-09-10,60.05,SIMULATED
2,1,2024-09-11,54.99,SIMULATED
3,1,2024-09-12,52.25,SIMULATED
4,1,2024-09-13,55.3,SIMULATED
5,1,2024-09-14,60.61,SIMULATED
6,1,2024-09-15,58.74,SIMULATED
7,1,2024-09-16,52.74,SIMULATED
8,1,2024-09-17,56.17,SIMULATED
9,1,2024-09-18,54.61,SIMULATED
10,1,2024-09-19,49.34,SIMULATED
11,1,2024-09-20,46.92,SIMULATED
12,1,2024-09-21,48.1,SIMULATED
13,1,2024-09-22,46.33,SIMULATED
14,1,2024-09-23,51.61,SIMULATED
15,1,2024-09-24,47.85,SIMULATED
16,1,2024-09-25,48.65,SIMULATED
17,1,2024-09-26,52.67,SIMULATED
18,1,2024-09-27,46.39,SIMULATED
19,1,2024-09-28,46.04,SIMULATED
20,1,2024-09-29,42.4,SIMULATED
21,1,2024-09-30,41.98,SIMULATED
22,1,2024-10-01,39.7,SIMULATED
23,1,2024-10-02,36.78,SIMULATED
24,1,2024-10-03,36.94,SIMULATED
25,1,2024-10-04,35.48,SIMULATED
26,1,2024-10-05,38.5,SIMULATED
27,1,2024-10-06,42.44,SIMULATED
28,1,2024-10-07,47.0,SIMULATED
29,1,2024-10-08,53.3,SIMULATED
30,1,2024-10-09,51.33,SIMULATED
31,1,2024-10-10,67.11,SIMULATED
32,1,2024-10-11,79.52,SIMULATED
33,1,2024-10-12,74.71,SIMULATED
34,1,2024-10-13,69.54,SIMULATED
35,1,2024-10-14,68.24,SIMULATED
36,1,2024-10-15,63.81,SIMULATED
37,1,2024-10-16,66.8,SIMULATED
38,1,2024-10-17,62.22,SIMULATED
39,1,2024-10-18,58.33,SIMULATED
40,1,2024-10-19,73.33,SIMULATED
41,1,2024-10-20,69.84,SIMULATED
42,1,2024-10-21,64.37,SIMULATED
43,1,2024-10-22,65.14,SIMULATED
44,1,2024-10-23,63.72,SIMULATED
45,1,2024-10-24,64.62,SIMULATED
46,1,2024-10-25,64.93,SIMULATED
47,1,2024-10-26,63.74,SIMULATED
48,1,2024-10-27,63.6,SIMULATED
49,1,2024-10-28,78.5,SIMULATED
50,1,2024-10-29,74.99,SIMULATED
