id,date,pair,value,data_provenance,source
1,2024-09-11,USD/INR,83.98,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
2,2024-09-12,USD/INR,83.96,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
3,2024-09-13,USD/INR,83.92,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
4,2024-09-16,USD/INR,83.86,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
5,2024-09-17,USD/INR,83.76,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
6,2024-09-18,USD/INR,83.72,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
7,2024-09-19,USD/INR,83.65,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
8,2024-09-20,USD/INR,83.53,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
9,2024-09-23,USD/INR,83.55,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
10,2024-09-24,USD/INR,83.67,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
11,2024-09-25,USD/INR,83.6,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
12,2024-09-26,USD/INR,83.64,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
13,2024-09-27,USD/INR,83.69,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
14,2024-09-30,USD/INR,83.79,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
15,2024-10-01,USD/INR,83.83,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
16,2024-10-02,USD/INR,83.99,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
17,2024-10-03,USD/INR,83.99,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
18,2024-10-04,USD/INR,83.97,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
19,2024-10-07,USD/INR,84.0,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
20,2024-10-08,USD/INR,83.96,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
21,2024-10-09,USD/INR,83.96,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
22,2024-10-10,USD/INR,83.97,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
23,2024-10-11,USD/INR,84.07,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
24,2024-10-14,USD/INR,84.04,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
25,2024-10-15,USD/INR,84.03,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
26,2024-10-16,USD/INR,84.01,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
27,2024-10-17,USD/INR,84.04,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
28,2024-10-18,USD/INR,84.08,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
29,2024-10-21,USD/INR,84.07,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
30,2024-10-22,USD/INR,84.07,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
31,2024-10-23,USD/INR,84.09,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
32,2024-10-24,USD/INR,84.07,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
33,2024-10-25,USD/INR,84.09,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
34,2024-10-28,USD/INR,84.08,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
35,2024-10-29,USD/INR,84.06,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
36,2024-10-30,USD/INR,84.09,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
37,2024-10-31,USD/INR,84.07,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
38,2024-11-01,USD/INR,84.06,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
39,2024-11-04,USD/INR,84.12,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
40,2024-11-05,USD/INR,84.11,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
41,2024-11-06,USD/INR,84.32,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
42,2024-11-07,USD/INR,84.32,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
43,2024-11-08,USD/INR,84.38,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
44,2024-11-11,USD/INR,84.4,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
45,2024-11-12,USD/INR,84.38,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
46,2024-11-13,USD/INR,84.38,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
47,2024-11-14,USD/INR,84.46,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
48,2024-11-15,USD/INR,84.43,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
49,2024-11-18,USD/INR,84.42,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
50,2024-11-19,USD/INR,84.41,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
51,2024-11-20,USD/INR,84.36,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
52,2024-11-21,USD/INR,84.48,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
53,2024-11-22,USD/INR,84.45,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
54,2024-11-25,USD/INR,84.29,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
55,2024-11-26,USD/INR,84.3,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
56,2024-11-27,USD/INR,84.41,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
57,2024-11-28,USD/INR,84.47,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
58,2024-11-29,USD/INR,84.57,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
59,2024-12-02,USD/INR,84.71,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
60,2024-12-03,USD/INR,84.68,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
61,2024-12-04,USD/INR,84.76,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
62,2024-12-05,USD/INR,84.68,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
63,2024-12-06,USD/INR,84.69,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
64,2024-12-09,USD/INR,84.87,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
65,2024-12-10,USD/INR,84.88,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
66,2024-12-11,USD/INR,84.85,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
67,2024-12-12,USD/INR,84.87,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
68,2024-12-13,USD/INR,84.8,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
69,2024-12-16,USD/INR,84.89,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
70,2024-12-17,USD/INR,84.92,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
71,2024-12-18,USD/INR,84.95,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
72,2024-12-19,USD/INR,85.12,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
73,2024-12-20,USD/INR,85.04,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
74,2024-12-23,USD/INR,85.11,REAL_VERIFIED,European Central Bank / RBI Reference Rate via Frankfurter API
