id,origin_region,destination_port_id,distance_nm,typical_transit_days
1,AUSTRALIA_GLADSTONE,1,5050.0,17.3
2,AUSTRALIA_GLADSTONE,2,4980.0,17.0
3,AUSTRALIA_GLADSTONE,3,5100.0,17.5
4,AUSTRALIA_HAY_POINT,1,5100.0,17.5
5,AUSTRALIA_HAY_POINT,3,5150.0,17.7
6,AUSTRALIA_NEWCASTLE,1,5300.0,18.3
7,AUSTRALIA_NEWCASTLE,3,5350.0,18.5
8,MOZAMBIQUE_NACALA,1,4250.0,14.5
9,MOZAMBIQUE_NACALA,2,4100.0,14.0
10,US_GULF_HOUSTON,3,9800.0,33.5
11,RUSSIA_VOSTOCHNY,1,4600.0,15.8
12,INDONESIA_KALIMANTAN,1,2100.0,7.2
13,INDONESIA_KALIMANTAN,4,2150.0,7.4
